NID	CHN	ETCM	TCMID	SYM	TCMSP	PINYIN	LATIN	TYPE	FAMILY_CHN	FAMILY_ENG	Specifications	Property_CHN	Property_Eng	Flavor_CHN	Flavor_ENG	Meridian_Tropism_CHN	Meridian_Tropism_ENG	Indication_CHN	Indication_ENG	English_Name	Class_Chinese	UsePart	Syndromes	itcm
1	制大黄		TCMID_H_6512			ZHI DA HUANG	Radix et Rhizoma Rhei Praeparata	Plant medicine				寒	Cold	苦	Bitter	脾、大肠、胃、肝、心	Spleen,Large Intestine,Stomach,Liver,Heart	治疗便秘发热、大便潴留、腹痛、痢疾、湿热黄疸、呕血、鼻出血、血热眼肿、腹痛阑尾炎、疖疮脓肿，血瘀闭经，外伤，上消化道出血。烫伤外用伯恩斯。拉迪克塞特大黄（酒炒）眼睛发炎，喉咙肿大，牙龈肿痛。大黄（制）有疖、疮、脓肿。大黄（炭化）血瘀血瘀。	Treatment of fever with constipation, retention of the feces and abdominal pain, dysentery with inadequate discharge from the bowels, jaundice caused by damp-heat, haematemesis, epistaxis, inflammation of eye and swelling of the throat due to heat in the blood, appendicitis with abdominal pain, boils, sores and abscess, amenorrhea due to blood stasis, traumatic injuries, hemorrhage from the upper gastrointestinal tract. External use for scalds and burns.Radixet Rhizoma Rhei (stir-fried with wine)  Inflammation of the eye, swelling of the throat and painful swelling of the gums.  Radix et Rhizoma Rhei (prepared) Boils, sores and abscess.  Radix et Rhizoma Rhei (carbonized) Hemorrhage with blood stasis due to heat in the blood.				1. Sennoside A is the component for purgation.2. Promoting biliary secretion and enhancing the amount of bilirubin and bile acid.3. Rhein and Emodin exert bacteriostatic effect by inhibting the synthesis of DNA, RNA and protein in bacteria4. Emodin is a component for hypotensive5. Oral use of its extract reduces the raio of serum cholesterol and total phospholipid in rabbits with hypercholesterolemia.6. Chrysophanol, an other active component, exerts a hemostatic effect.	itcm_h_1
2	桑根		TCMID_H_2749			SANG GEN		Plant medicine																itcm_h_2
3	白兰根		TCMID_H_7933			BAI LAN GEN		Plant medicine																itcm_h_3
4	天雄		TCMID_H_1163			TIAN XIONG		Plant medicine																itcm_h_4
5	复盆子		TCMID_H_5009			FU PEN ZI	Rubus idaeus	Plant medicine	蔷薇科	Rosaceae		平	Neutral	甘,酸	Sweet,Sour	肝，肾	Liver,Kidney	补肝益肾，固精减尿，明目。	To supplement liver and boost kidney, secure essence and reduce urine, brighten eyes.			fruit	Impotence with premature ejaculation, emission, infertility due to uterus cold, frequent urination and enuresis, dizziness and dim vision, premature graying in beard and hair.	itcm_h_5
6	金针菜		TCMID_H_4097			JIN ZHEN CAI		Plant medicine	阿福花科	Asphodelaceae														itcm_h_6
7	毛曼陀罗叶		TCMID_H_3274			MAO MAN TUO LUO YE	Datura innoxia	Plant medicine	茄科	Solanaceae								详见 Datura metel.	See  Datura metel.			leaf	See Datura metel.	itcm_h_7
8	沙参		TCMID_H_5608			SHA SHEN	Radix Glehniae	Plant medicine	桔梗科	Campanulaceae		小寒	Slight Cold	甘	Sweet	肺，胃	Lung,Stomach	治疗方法：1。肺阴虚热，表现为干咳或痰少咳嗽，慢性咳嗽声音嘶哑，咽干口渴。沙参与麦冬、川贝合用。2发热性疾病所消耗的体液表现为舌燥食欲不振。沙参与麦冬、生地黄、玉竹配伍制成益胃汤。	Treatment of: 1. Deficient yin of the lungs with heat manifested as dry cough or cough with scanty sputum, hoarse voice from a chronic cough, dry throat and thirst. Glehnia root (Shashen) is used with Ophiopogon root (Maidong) and Tendrilled fritillary bulb (Chuanbeimu). 2. Body fluids consumed by febrile diseases manifested as dry tongue and poor appetite. Glehnia root (Shashen) is used with Ophiopogon root (Maidong), Fresh rehmannia root (Shengdihuang) and Fragrant solomonseal rhizome (Yuzhu) in the formula Yiwei Tang.					itcm_h_8
9	大枫子仁		TCMID_H_5531			DA FENG ZI REN	Semen Chaulmoograe	Plant medicine				热	Hot	辛	Pungent	脾、肝、肾	Spleen,Liver,Kidney	治疗麻风病，内外兼用，外用治疗疥疮、癣和梅毒皮损。	Treatment of leprosy, both internal and external use, external use for scabies, tinea and syphilitic skin lesion.				Chaulmoogric oil inhibits the growth of Bacillus tuberculosis and other acid-fast bacillus in vitro, its effect is as 100 times as that of phenol.	itcm_h_9
10	冰片	yc_38	TCMID_H_1932	SMHB00048	48	BING PIAN	Borneolum Syntheticum	Plant medicine	樟科	Lauraceae	以片大而薄、色洁白、质松、气清香纯正者为佳	凉	Cool	辛,苦	pungent,bitter	心,肺	Heart, lung	通诸窍,散郁火,去翳,明目,消肿,止痛	Clear the orifices, disperse depression and fire, remove haze, improve eyesight, reduce swelling, and relieve pain					itcm_h_10
